Seller,Department,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers
Letícia Nascimento,Electronics,2427.43,4787.08,0.1,0.2,1/1/2020,12,43
Ana Sousa,Electronics,4919.75,10881.02,0.28,0.21,1/1/2020,28,79
Gustavo Martins,Electronics,7624.18,7967.99,0.17,0.18,1/1/2020,41,81
Beatriz Santos,Wardrobe,8975.4,5692.55,0.17,0.19,1/1/2020,50,117
Camila Lima,Wardrobe,2440.52,6384.7,0.24,0.17,1/1/2020,16,38
Thiago Barbosa,Accessories,4778.08,3315.93,0.34,0.54,1/1/2020,28,89
Letícia Ribeiro,Accessories,1215.92,4591.72,0.48,0.46,1/1/2020,7,27
Enzo Nascimento,House,3326.25,10826.86,0.3,0.22,1/1/2020,16,32
Guilherme Santos,House,8137.36,8108.39,0.39,0.33,1/1/2020,41,76
Vitória Ribeiro,Toy,9348.86,5758.44,0.16,0.23,1/1/2020,50,61
Julia Araújo,Sports,5424.39,10336.49,0.35,0.33,1/1/2020,31,79
Lucas Rodrigues,Sports,3808.21,12674.99,0.14,0.34,1/1/2020,23,83
Thiago Carvalho,Sports,13533.87,11962.87,0.33,0.33,1/1/2020,75,190
Mateus Barbosa,Electronics,8603.8,4217.87,0.1,0.18,1/1/2020,45,115
Camila Carvalho,House,5343.88,5938.75,0.3,0.33,1/1/2020,31,39
Diego Cardoso,Wardrobe,2102.04,5660.79,0.22,0.18,1/1/2020,12,29
Jorge Santos,Toy,6147.25,8865.13,0.14,0.22,1/1/2020,34,136
Raphael Silva,Stationery,2467.96,1225.16,0.65,0.45,1/1/2020,11,22
Caroline Reis,Stationery,3708.94,3033.26,0.31,0.43,1/1/2020,19,45
Letícia Nascimento,Electronics,843.89,8929.58,0.14,0.18,1/2/2020,2,5
Ana Sousa,Electronics,13174.76,8208.81,0.16,0.18,1/2/2020,82,161
Gustavo Martins,Electronics,16054.11,9832.73,0.08,0.17,1/2/2020,102,417
Beatriz Santos,Wardrobe,8712.66,6644.17,0.2,0.15,1/2/2020,53,105
Camila Lima,Wardrobe,4601.26,9252.51,0.1,0.2,1/2/2020,21,48
Thiago Barbosa,Accessories,4622.37,2897.22,0.32,0.42,1/2/2020,21,73
Letícia Ribeiro,Accessories,2607.72,4840.14,0.24,0.58,1/2/2020,14,22
Enzo Nascimento,House,19577.81,14976.27,0.29,0.26,1/2/2020,114,179
Guilherme Santos,House,14651.74,15247.61,0.14,0.23,1/2/2020,92,378
Vitória Ribeiro,Toy,6510.35,7231.91,0.22,0.22,1/2/2020,34,114
Julia Araújo,Sports,3687.57,7270.84,0.51,0.38,1/2/2020,23,91
Lucas Rodrigues,Sports,10795.49,9887.99,0.49,0.38,1/2/2020,60,115
Thiago Carvalho,Sports,4207.07,14215.51,0.14,0.35,1/2/2020,24,89
Mateus Barbosa,Electronics,2787.88,11570.46,0.26,0.2,1/2/2020,12,41
Camila Carvalho,House,3618.03,9451.66,0.17,0.25,1/2/2020,16,41
Diego Cardoso,Wardrobe,6948.61,3700.27,0.26,0.21,1/2/2020,43,136
Jorge Santos,Toy,10309.02,8216.36,0.11,0.3,1/2/2020,55,71
Raphael Silva,Stationery,562.21,2972.86,0.47,0.43,1/2/2020,4,8
Caroline Reis,Stationery,4294.08,2174.87,0.22,0.52,1/2/2020,24,76
Letícia Nascimento,Electronics,6335.56,10449.32,0.1,0.23,1/3/2020,34,55
Ana Sousa,Electronics,5197.23,9624.36,0.18,0.23,1/3/2020,33,128
Gustavo Martins,Electronics,11905.95,4834.25,0.3,0.18,1/3/2020,65,138
Beatriz Santos,Wardrobe,3613.74,6514.12,0.08,0.15,1/3/2020,17,57
Camila Lima,Wardrobe,2966.01,10815.71,0.1,0.14,1/3/2020,12,16
Thiago Barbosa,Accessories,2031.42,2573.72,0.32,0.5,1/3/2020,7,18
Letícia Ribeiro,Accessories,925,4579.96,0.26,0.42,1/3/2020,2,5
Enzo Nascimento,House,10082.99,15541.35,0.34,0.32,1/3/2020,63,181
Guilherme Santos,House,1443.6,10349.93,0.23,0.28,1/3/2020,7,23
Vitória Ribeiro,Toy,12945.48,11793.71,0.4,0.25,1/3/2020,82,230
Julia Araújo,Sports,3833.87,6489.15,0.38,0.31,1/3/2020,21,40
Lucas Rodrigues,Sports,8576.71,13874.49,0.36,0.31,1/3/2020,43,155
